"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.00441GLS004","GLS","glass: colourless",119.00,"bottle",NULL,1890,1925,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-71","colourless","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS005","GLS",NULL,21.00,"feeding bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Feeding bottle (glass)",NULL,"gl-fle-86","green","Netherlands/Germany",NULL,35,NULL,NULL,NULL,NULL
"NZR2.00441GLS006","GLS",NULL,182.00,"mineral water bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,200,NULL,NULL,NULL,NULL
"NZR2.00441GLS007","GLS",NULL,581.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",100.00,NULL,145.00,NULL,NULL,NULL
"NZR2.00441GLS008","GLS",NULL,533.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",100.00,50,NULL,NULL,NULL,NULL
"NZR2.00441GLS009","GLS",NULL,1020.00,"wine bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",300.00,210,152.00,NULL,NULL,NULL
"NZR2.00441GLS010","GLS",NULL,477.00,"wine bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",100.00,100,NULL,NULL,NULL,NULL
"NZR2.00441GLS011","GLS",NULL,609.00,"wine bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",100.00,100,155.00,195.00,NULL,NULL
"NZR2.00441GLS012","GLS",NULL,254.00,"wine bottle",NULL,1650,1675,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",NULL,130,NULL,NULL,NULL,NULL
"NZR2.00441GLS013","GLS",NULL,3660.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",300.00,630,NULL,NULL,NULL,NULL
"NZR2.00441GLS014","GLS",NULL,627.00,"wine bottle",NULL,1725,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","yellow green","the Netherlands/Germany",100.00,200,NULL,NULL,NULL,NULL
"NZR2.00441GLS015","GLS",NULL,388.00,"wine bottle",NULL,1725,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","green","the Netherlands/Germany",NULL,175,NULL,NULL,NULL,NULL
"NZR2.00441GLS016","GLS",NULL,2224.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,325,NULL,NULL,NULL,NULL
"NZR2.00441GLS017","GLS",NULL,180.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","green","Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS018","GLS",NULL,77.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS019","GLS",NULL,55.00,"bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","blue green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS020","GLS",NULL,38.00,"wine bottle",NULL,1725,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS021","GLS",NULL,109.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",200.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS022","GLS",NULL,362.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00441GLS023","GLS",NULL,80.00,"carafe",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Carafe",NULL,"gl-fle-105","green","Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS024","GLS",NULL,97.00,"wine bottle",NULL,1690,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,80,NULL,NULL,NULL,NULL
"NZR2.00441GLS025","GLS",NULL,238.00,"mineral water bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",200.00,100,NULL,NULL,NULL,NULL
"NZR2.00441GLS026","GLS",NULL,207.00,"wine bottle",NULL,1690,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-23","green","western Europe",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00441GLS027","GLS",NULL,457.00,"case-bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","light green","Netherlands/Germany",NULL,100,100.00,NULL,NULL,NULL
"NZR2.00441GLS028","GLS",NULL,152.00,"case-bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","green","Netherlands/Germany",NULL,40,NULL,NULL,NULL,NULL
"NZR2.00441GLS029","GLS",NULL,31.00,"case-bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS030","GLS",NULL,47.00,"case-bottle",NULL,1725,1775,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","light green","Estonia",100.00,NULL,NULL,NULL,"glass seal",NULL
"NZR2.00441GLS031","GLS",NULL,326.00,"storage bottle",NULL,1675,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-137","green","Netherlands/Germany",60.00,60,NULL,NULL,NULL,NULL
"NZR2.00441GLS032","GLS",NULL,184.00,"wine bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-19","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS033","GLS",NULL,55.00,"bottle",NULL,1675,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS034","GLS",NULL,24.00,"storage bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS035","GLS","glass: forest-glass",27.00,"roemer",NULL,1630,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,175,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00441GLS036","GLS","glass: forest-glass",172.00,"roemer",NULL,1625,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,250,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00441GLS037","GLS","glass: lead-glass",86.00,"goblet",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-3","colourless","England?",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS038","GLS","glass: colourless",7.00,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS039","GLS","glass: opaline",15.00,"lamp shade",NULL,1850,1925,NULL,NULL,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00441GLS040","GLS","glass: colourless",2.00,"drinking glass",NULL,1700,1900,NULL,NULL,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","colourless","Europe",15.00,NULL,70.00,NULL,NULL,NULL
"NZR2.00441GLS041","GLS","glass",12.00,"plate",NULL,1650,1650,NULL,NULL,"Food Processing & Consumption","Food consumption: plate, dish, bowl","Plate Ø < 300 (glass)",NULL,"gl-bor","green","the Netherlands/Germany",15.00,NULL,200.00,NULL,NULL,NULL
"NZR2.00441GLS042","GLS","glass: colourless",34.00,"beaker/mug",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-10","colourless","the Netherlands",NULL,25,90.00,NULL,"criss-cross pattern",NULL
"NZR2.00441GLS043","GLS","glass",55.00,"paraffin lamp","chimney",1850,1925,NULL,NULL,"Interiors & Accessories","Lighting: kerosene or refined oil","Glass chimney paraffin lamp, possibly oil lamp",NULL,"gl-lam","aquamarine","Europe",NULL,90,NULL,NULL,NULL,NULL
"NZR2.00442GLS001","GLS",NULL,48.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00442GLS002","GLS",NULL,154.00,"wine bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",NULL,20,NULL,NULL,NULL,NULL
"NZR2.00442GLS003","GLS",NULL,252.00,"wine bottle",NULL,1650,1675,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",NULL,100,NULL,NULL,NULL,NULL
"NZR2.00442GLS004","GLS",NULL,902.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-160","green","England",NULL,100,146.00,NULL,NULL,NULL
"NZR2.00442GLS005","GLS",NULL,467.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","green","Germany",100.00,100,NULL,NULL,NULL,NULL
"NZR2.00442GLS006","GLS",NULL,147.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",100.00,25,NULL,NULL,NULL,NULL
"NZR2.00442GLS007","GLS",NULL,478.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,70,NULL,NULL,NULL,NULL
"NZR2.00442GLS008","GLS",NULL,12.00,"bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","Netherlands/Germany",NULL,36,NULL,NULL,NULL,NULL
"NZR2.00442GLS009","GLS",NULL,34.00,"wine bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00442GLS010","GLS",NULL,12.00,"mineral water bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00442GLS011","GLS",NULL,52.00,"case-bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00442GLS012","GLS",NULL,1118.00,"wine bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-19","green","England/Germany",200.00,100,NULL,NULL,NULL,NULL
"NZR2.00442GLS013","GLS",NULL,10.00,"storage bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-34","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00442GLS014","GLS","glass: forest-glass",29.00,"roemer",NULL,1630,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,150,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00442GLS015","GLS",NULL,4.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00443GLS001","GLS",NULL,86.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,35,NULL,NULL,NULL,NULL
"NZR2.00443GLS002","GLS",NULL,31.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00443GLS003","GLS",NULL,7.00,"medicine bottle",NULL,1700,1800,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-11","green","Netherlands/Germany",NULL,100,22.00,NULL,NULL,NULL
"NZR2.00443GLS004","GLS","glass",7.00,"bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00443GLS005","GLS",NULL,66.00,"wine bottle",NULL,1690,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-23","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00443GLS006","GLS","glass: lead-glass",74.00,"goblet",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-2","colourless","England?",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00443GLS007","GLS","glass: colourless",9.00,"window glass",NULL,1900,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS001","GLS","glass",51.00,"bottle",NULL,1800,1900,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light blue green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS002","GLS",NULL,80.00,"wine bottle",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZR2.00445GLS003","GLS",NULL,211.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","yellow green","the Netherlands",NULL,30,NULL,NULL,NULL,NULL
"NZR2.00445GLS004","GLS",NULL,34.00,"bottle",NULL,1875,1925,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS005","GLS",NULL,662.00,"wine bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",NULL,100,133.00,NULL,NULL,NULL
"NZR2.00445GLS006","GLS",NULL,528.00,"wine bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",300.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS007","GLS",NULL,188.00,"wine bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-5","green","England/Germany",300.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS008","GLS",NULL,1701.00,"wine bottle",NULL,1675,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",165.00,275,NULL,NULL,NULL,NULL
"NZR2.00445GLS009","GLS",NULL,39.00,"window glass",NULL,1500,1800,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS010","GLS",NULL,33.00,"bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","light green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS011","GLS",NULL,543.00,"wine bottle",NULL,1725,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-25","green","the Netherlands/Germany",200.00,135,NULL,NULL,NULL,NULL
"NZR2.00445GLS012","GLS",NULL,824.00,"wine bottle",NULL,1700,1725,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",NULL,165,142.00,NULL,NULL,NULL
"NZR2.00445GLS013","GLS",NULL,461.00,"wine bottle",NULL,1700,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-22","green","western Europe",190.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS014","GLS",NULL,998.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,200,NULL,NULL,NULL,NULL
"NZR2.00445GLS015","GLS",NULL,73.00,"wine bottle",NULL,1725,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-21","green","Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS016","GLS",NULL,506.00,"wine bottle",NULL,1690,1740,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-19","green","western Europe",NULL,160,NULL,NULL,NULL,NULL
"NZR2.00445GLS017","GLS",NULL,29.00,"wine bottle",NULL,1690,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-23","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS018","GLS",NULL,49.00,"mineral water bottle",NULL,1650,1750,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Mineral water jug",NULL,"gl-fle-18","yellow green","the southern Netherlands",NULL,125,NULL,NULL,NULL,NULL
"NZR2.00445GLS019","GLS",NULL,16.00,"bottle",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS020","GLS",NULL,18.00,"wine bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS021","GLS",NULL,12.00,"storage bottle",NULL,1675,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-105","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.00445GLS022","GLS","glass: forest-glass",47.00,"roemer",NULL,1650,1725,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe-1","green","the Netherlands/Germany",NULL,100,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00445GLS023","GLS","glass: forest-glass",47.00,"roemer",NULL,1630,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe-2","green","the Netherlands/Germany",20.00,100,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.00445GLS024","GLS","glass: lead-glass",22.00,"goblet",NULL,1675,1750,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-38","colourless","England",NULL,NULL,NULL,NULL,NULL,NULL
